Date,Home,Score,Away,Attendance,Venue,Result,W_Home,D_Home,L_Home,Pts_Home,Poss_Home,Gls_Home,Ast_Home,CrdY_Home,CrdR_Home,GlsPer90_Home,AstPer90_Home,Sh_Home,SoT_Home,SoT%_Home,Sh/90_Home,SoT/90_Home,G/Sh_Home,G/SoT_Home,GA_Home,GA90_Home,SoTA_Home,Saves_Home,Save%_Home,CS_Home,CS%_Home,Cmp%_Home,KP_Home,1/3_Home,Prog_Home,SCA_Home,SCA90_Home,PassLiveSCA_Home,DribSCA_Home,ShSCA_Home,DefSCA_Home,GCA_Home,GCA90_Home,PassLiveGCA_Home,DribGCA_Home,ShGCA_Home,DefGCA_Home,TklW_Home,Blocks_Home,Int_Home,Err_Home,Live_Home,Miscon_Home,W_Away,D_Away,L_Away,Pts_Away,Poss_Away,Gls_Away,Ast_Away,CrdY_Away,CrdR_Away,GlsPer90_Away,AstPer90_Away,Sh_Away,SoT_Away,SoT%_Away,Sh/90_Away,SoT/90_Away,G/Sh_Away,G/SoT_Away,GA_Away,GA90_Away,SoTA_Away,Saves_Away,Save%_Away,CS_Away,CS%_Away,Cmp%_Away,KP_Away,1/3_Away,Prog_Away,SCA_Away,SCA90_Away,PassLiveSCA_Away,DribSCA_Away,ShSCA_Away,DefSCA_Away,GCA_Away,GCA90_Away,PassLiveGCA_Away,DribGCA_Away,ShGCA_Away,DefGCA_Away,TklW_Away,Blocks_Away,Int_Away,Err_Away,Live_Away,Miscon_Away,MP_1_Home,Min_1_Home,MP_2_Home,Min_2_Home,Gls_2_Home,Ast_2_Home,GlsPer90_2_Home,AstPer90_2_Home,MP_3_Home,Min_3_Home,Gls_3_Home,Ast_3_Home,GlsPer90_3_Home,AstPer90_3_Home,MP_4_Home,Min_4_Home,Gls_4_Home,Ast_4_Home,GlsPer90_4_Home,AstPer90_4_Home,MP_5_Home,Min_5_Home,Gls_5_Home,Ast_5_Home,GlsPer90_5_Home,AstPer90_5_Home,MP_6_Home,Min_6_Home,Gls_6_Home,Ast_6_Home,GlsPer90_6_Home,AstPer90_6_Home,MP_7_Home,Min_7_Home,Gls_7_Home,Ast_7_Home,GlsPer90_7_Home,AstPer90_7_Home,MP_8_Home,Min_8_Home,Gls_8_Home,Ast_8_Home,GlsPer90_8_Home,AstPer90_8_Home,MP_9_Home,Min_9_Home,Gls_9_Home,Ast_9_Home,GlsPer90_9_Home,AstPer90_9_Home,MP_10_Home,Min_10_Home,Gls_10_Home,Ast_10_Home,GlsPer90_10_Home,AstPer90_10_Home,MP_11_Home,Min_11_Home,Gls_11_Home,Ast_11_Home,GlsPer90_11_Home,AstPer90_11_Home,MP_1_Away,Min_1_Away,MP_2_Away,Min_2_Away,Gls_2_Away,Ast_2_Away,GlsPer90_2_Away,AstPer90_2_Away,MP_3_Away,Min_3_Away,Gls_3_Away,Ast_3_Away,GlsPer90_3_Away,AstPer90_3_Away,MP_4_Away,Min_4_Away,Gls_4_Away,Ast_4_Away,GlsPer90_4_Away,AstPer90_4_Away,MP_5_Away,Min_5_Away,Gls_5_Away,Ast_5_Away,GlsPer90_5_Away,AstPer90_5_Away,MP_6_Away,Min_6_Away,Gls_6_Away,Ast_6_Away,GlsPer90_6_Away,AstPer90_6_Away,MP_7_Away,Min_7_Away,Gls_7_Away,Ast_7_Away,GlsPer90_7_Away,AstPer90_7_Away,MP_8_Away,Min_8_Away,Gls_8_Away,Ast_8_Away,GlsPer90_8_Away,AstPer90_8_Away,MP_9_Away,Min_9_Away,Gls_9_Away,Ast_9_Away,GlsPer90_9_Away,AstPer90_9_Away,MP_10_Away,Min_10_Away,Gls_10_Away,Ast_10_Away,GlsPer90_10_Away,AstPer90_10_Away,MP_11_Away,Min_11_Away,Gls_11_Away,Ast_11_Away,GlsPer90_11_Away,AstPer90_11_Away
2017-11-25,Crystal Palace,2 - 1,Stoke City,23723,Selhurst Park,W,11,11,16,44,45.3,44,26,0,0,1.16,0.68,467,133,28.5,12.29,3.50,0.08,0.27,55,1.45,168,117,.685,9,23.7,73.1,320,1019,1154,714,18.79,481,48,46,17,76,2.00,48,6,9,1,355,677,424,18,18815,514,7,12,19,33,41.3,34,28,0,0,0.89,0.74,387,122,31.5,10.18,3.21,0.09,0.28,68,1.79,212,151,.703,6,15.8,69.4,284,964,977,599,15.76,423,29,39,18,62,1.63,38,3,6,2,354,638,381,18,16974,465,27,2430,19,1613,0,1,0.00,0.06,28,2387,3,0,0.11,0.00,19,1600,1,2,0.06,0.11,24,1745,0,1,0.00,0.05,36,3080,10,1,0.29,0.03,31,2376,0,1,0.00,0.04,24,1874,2,3,0.10,0.14,33,2431,5,1,0.19,0.04,36,3120,2,7,0.06,0.20,29,2549,9,3,0.32,0.11,3,270,31,2718,0,1,0.00,0.03,17,1323,0,0,0.00,0.00,34,2888,1,0,0.03,0.00,27,2371,1,1,0.04,0.04,36,3139,2,6,0.06,0.17,27,2219,1,1,0.04,0.04,24,1238,2,0,0.15,0.00,30,2314,5,5,0.19,0.19,35,2596,6,2,0.21,0.07,36,3039,8,7,0.24,0.21
2017-11-25,Liverpool,1 - 1,Chelsea,53225,Anfield,D,21,12,5,75,60.5,82,58,0,0,2.16,1.53,638,229,35.9,16.79,6.03,0.13,0.35,38,1.00,99,65,.657,17,44.7,81.8,474,1703,1872,1034,27.21,783,69,54,19,132,3.47,96,16,7,3,372,534,380,9,27107,536,21,7,10,70,55.4,60,42,0,0,1.58,1.11,607,213,35.1,15.97,5.61,0.09,0.27,38,1.00,114,80,.684,16,42.1,82.1,470,1457,1717,1012,26.63,761,57,53,21,99,2.61,74,5,5,2,378,554,321,12,25340,452,19,1710,23,1902,0,2,0.00,0.09,19,1451,1,0,0.06,0.00,16,1266,0,0,0.00,0.00,25,1997,1,0,0.05,0.00,32,1775,0,3,0.00,0.15,14,1109,7,6,0.57,0.49,27,2171,1,1,0.04,0.04,32,1493,3,7,0.18,0.42,36,2907,32,10,0.99,0.31,35,3150,33,2855,7,2,0.22,0.06,22,1098,1,1,0.08,0.08,27,2086,0,0,0.00,0.00,27,2086,0,0,0.00,0.00,37,3330,2,6,0.05,0.16,12,527,1,0,0.17,0.00,34,2994,1,1,0.03,0.03,29,2126,2,2,0.08,0.08,6,118,0,0,0.00,0.00,31,2061,11,6,0.48,0.26,34,2422,12,4,0.45,0.15
2017-11-26,Southampton,4 - 1,Everton,30461,St. Mary's Stadium,W,7,15,16,36,51.5,36,23,0,0,0.95,0.61,444,138,31.1,11.68,3.63,0.07,0.24,56,1.47,160,105,.656,8,21.1,75.2,330,1191,1301,695,18.29,522,47,26,11,65,1.71,45,4,5,0,393,664,412,12,21271,407,13,10,15,49,45.9,42,26,0,0,1.11,0.68,356,109,30.6,9.37,2.87,0.10,0.34,58,1.53,176,121,.688,10,26.3,72.2,261,1053,1013,556,14.63,391,29,31,14,70,1.84,41,6,10,4,368,680,396,11,19286,526,20,1800,32,2794,0,3,0.00,0.10,28,2520,0,1,0.00,0.04,35,3135,0,4,0.00,0.11,23,1521,3,0,0.18,0.00,36,2791,6,3,0.19,0.10,23,1670,0,0,0.00,0.00,24,1037,7,0,0.61,0.00,30,1716,3,3,0.16,0.16,26,1219,2,2,0.15,0.15,38,3420,14,1260,0,0,0.00,0.00,22,1909,2,3,0.09,0.14,30,2560,0,1,0.00,0.04,25,2065,0,0,0.00,0.00,19,1590,0,1,0.00,0.06,30,2130,0,0,0.00,0.00,33,2751,2,1,0.07,0.03,27,2259,4,3,0.16,0.12,5,138,0,0,0.00,0.00,15,793,0,0,0.00,0.00,32,1882,4,6,0.19,0.29
2017-11-26,Burnley,0 - 1,Arsenal,21722,Turf Moor,L,14,12,12,54,43.9,35,26,0,0,0.92,0.68,384,132,34.4,10.11,3.47,0.09,0.27,39,1.03,162,126,.778,12,31.6,68.1,279,936,930,563,14.82,365,27,41,6,57,1.50,38,2,11,1,300,729,381,4,17688,411,19,6,13,63,61.5,73,61,0,0,1.92,1.61,595,225,37.8,15.66,5.92,0.12,0.31,51,1.34,143,97,.678,13,34.2,82.9,442,1754,1842,961,25.29,748,56,49,9,124,3.26,92,5,11,2,356,548,355,12,27364,480,35,3115,26,2295,0,3,0.00,0.12,31,2790,0,0,0.00,0.00,29,2610,0,0,0.00,0.00,28,2460,1,1,0.04,0.04,38,3420,2,1,0.05,0.03,15,1277,1,2,0.07,0.14,34,2331,2,2,0.08,0.08,24,1997,1,1,0.05,0.05,35,2833,2,8,0.06,0.25,36,2165,9,0,0.37,0.00,34,3039,25,2225,2,0,0.08,0.00,28,2243,5,2,0.20,0.08,27,2273,3,1,0.12,0.04,35,3051,2,3,0.06,0.09,27,2147,2,4,0.08,0.17,24,1846,7,8,0.34,0.39,38,3260,1,7,0.03,0.19,19,1503,7,3,0.42,0.18,32,2202,14,4,0.57,0.16,26,1830,3,5,0.15,0.25
2017-11-26,Huddersfield,1 - 2,Manchester City,24121,The John Smith's Stadium,L,9,10,19,37,45.7,25,19,0,0,0.66,0.50,364,107,29.4,9.58,2.82,0.06,0.21,57,1.50,154,101,.656,10,26.3,71.6,248,894,959,519,13.66,377,27,24,19,45,1.18,32,3,3,1,395,678,450,14,19429,503,32,4,2,100,71.1,103,85,0,0,2.71,2.24,665,257,38.6,17.50,6.76,0.15,0.38,27,0.71,84,58,.679,18,47.4,87.3,491,2046,2018,1104,29.05,862,53,45,18,188,4.95,149,10,7,3,311,474,324,4,31797,484,38,3420,24,1904,0,1,0.00,0.05,22,1119,0,1,0.00,0.08,38,3420,0,2,0.00,0.05,37,3265,0,1,0.00,0.03,30,2398,0,0,0.00,0.00,36,3067,4,3,0.12,0.09,20,1124,0,0,0.00,0.00,33,2452,2,0,0.07,0.00,33,2137,3,0,0.13,0.00,33,1820,6,1,0.30,0.05,36,3194,32,2785,0,6,0.00,0.19,17,1394,1,1,0.06,0.06,22,1741,1,2,0.05,0.10,34,2967,4,0,0.12,0.00,37,3073,8,16,0.23,0.47,29,2430,9,11,0.33,0.41,34,2881,5,3,0.16,0.09,33,2587,18,11,0.63,0.38,25,1963,21,6,0.96,0.28,32,2419,10,15,0.37,0.56
2017-11-28,Brighton,0 - 0,Crystal Palace,29889,The American Express Community Stadium,D,9,13,16,40,43.7,33,25,0,0,0.87,0.66,383,112,29.2,10.08,2.95,0.07,0.25,54,1.42,170,120,.688,10,26.3,73.0,271,891,978,577,15.18,414,29,29,8,61,1.61,44,4,3,0,369,663,345,18,18725,443,11,11,16,44,45.3,44,26,0,0,1.16,0.68,467,133,28.5,12.29,3.50,0.08,0.27,55,1.45,168,117,.685,9,23.7,73.1,320,1019,1154,714,18.79,481,48,46,17,76,2.00,48,6,9,1,355,677,424,18,18815,514,38,3420,14,1179,0,0,0.00,0.00,25,2016,0,0,0.00,0.00,38,3420,1,1,0.03,0.03,37,3292,0,1,0.00,0.03,36,3240,0,3,0.00,0.08,33,2421,3,1,0.11,0.04,38,2928,7,8,0.22,0.25,32,1984,5,3,0.23,0.14,35,3119,0,4,0.00,0.12,35,2192,12,0,0.49,0.00,27,2430,19,1613,0,1,0.00,0.06,28,2387,3,0,0.11,0.00,19,1600,1,2,0.06,0.11,24,1745,0,1,0.00,0.05,36,3080,10,1,0.29,0.03,31,2376,0,1,0.00,0.04,24,1874,2,3,0.10,0.14,36,3120,2,7,0.06,0.20,29,2549,9,3,0.32,0.11,31,2240,3,5,0.12,0.20
2017-11-28,Leicester City,2 - 1,Tottenham,31950,King Power Stadium,W,12,11,15,47,47.9,53,38,0,0,1.39,1.00,420,137,32.6,11.05,3.61,0.11,0.35,60,1.58,161,105,.640,9,23.7,72.0,281,1031,1046,605,15.92,431,38,35,8,91,2.39,69,3,4,1,374,674,365,6,19280,467,23,8,7,77,61.9,70,51,0,0,1.84,1.34,628,210,33.4,16.53,5.53,0.11,0.32,36,0.95,127,93,.732,16,42.1,81.3,454,1677,1820,984,25.89,739,48,54,21,113,2.97,78,6,11,1,359,533,347,8,25924,516,33,2965,28,2306,0,0,0.00,0.00,24,1853,0,2,0.00,0.10,32,2817,0,0,0.00,0.00,38,3420,2,4,0.05,0.11,34,2538,2,7,0.07,0.25,27,1324,6,2,0.41,0.14,19,1410,3,0,0.19,0.00,33,2898,0,3,0.00,0.09,36,2950,12,10,0.37,0.31,37,3247,20,1,0.55,0.03,36,3240,10,800,0,1,0.00,0.11,36,3203,0,0,0.00,0.00,31,2534,0,0,0.00,0.00,17,1429,2,2,0.13,0.13,34,2824,0,2,0.00,0.06,32,1386,1,1,0.06,0.06,28,1879,0,0,0.00,0.00,36,2958,9,10,0.27,0.30,37,3218,10,10,0.28,0.28,37,3076,30,2,0.88,0.06
2017-11-28,West Brom,2 - 2,Newcastle Utd,25534,The Hawthorns,D,6,13,19,31,40.6,31,24,0,0,0.82,0.63,394,108,27.4,10.37,2.84,0.08,0.28,56,1.47,155,101,.645,10,26.3,70.2,272,931,930,585,15.39,408,28,31,16,47,1.24,32,2,5,0,350,614,431,17,17337,468,12,8,18,44,41.7,38,29,0,0,1.00,0.76,453,154,34.0,11.92,4.05,0.08,0.25,47,1.24,142,101,.697,9,23.7,70.8,307,895,978,675,17.76,486,39,39,25,58,1.53,38,4,9,0,351,734,394,7,18274,468,37,3330,29,2310,0,1,0.00,0.04,33,2827,0,1,0.00,0.03,28,2270,2,2,0.08,0.08,38,3386,2,0,0.05,0.00,34,2674,2,2,0.07,0.07,30,2093,2,2,0.09,0.09,25,1923,1,1,0.05,0.05,10,537,1,0,0.17,0.00,21,827,2,0,0.22,0.00,36,2767,7,3,0.23,0.10,10,900,20,1746,2,1,0.10,0.05,9,672,0,0,0.00,0.00,24,2103,0,2,0.00,0.09,34,2845,0,2,0.00,0.06,35,2804,3,5,0.10,0.16,26,1374,1,0,0.07,0.00,36,2492,8,5,0.29,0.18,24,1347,1,1,0.07,0.07,25,1148,1,1,0.08,0.08,30,1712,4,1,0.21,0.05
2017-11-28,Watford,2 - 4,Manchester Utd,20552,Vicarage Road Stadium,L,11,8,19,41,49.6,42,27,0,0,1.11,0.71,445,130,29.2,11.71,3.42,0.09,0.30,64,1.68,150,93,.613,9,23.7,72.6,307,1082,1186,668,17.58,470,46,44,16,63,1.66,38,5,8,1,358,557,406,11,19834,473,25,6,7,81,54.8,67,53,0,0,1.76,1.39,518,171,33.0,13.63,4.50,0.13,0.39,28,0.74,144,119,.813,19,50.0,81.2,379,1323,1471,832,21.89,640,52,40,12,115,3.03,82,8,11,0,330,583,407,11,24168,442,24,2128,21,1570,0,0,0.00,0.00,28,2210,0,0,0.00,0.00,23,1713,1,1,0.05,0.05,12,994,0,1,0.00,0.09,28,2330,2,0,0.08,0.00,23,1902,1,2,0.05,0.09,37,3324,7,3,0.19,0.08,15,990,2,3,0.18,0.27,38,2823,5,4,0.16,0.13,31,1498,5,2,0.30,0.12,37,3330,17,1285,0,0,0.00,0.00,9,640,0,0,0.00,0.00,29,2536,4,0,0.14,0.00,30,2442,2,4,0.07,0.15,31,2740,3,1,0.10,0.03,27,2148,6,10,0.25,0.42,33,1817,8,5,0.40,0.25,36,3118,1,1,0.03,0.03,34,2867,16,7,0.50,0.22,30,1582,9,5,0.51,0.28
2017-11-29,Arsenal,5 - 0,Huddersfield,59285,Emirates Stadium,W,19,6,13,63,61.5,73,61,0,0,1.92,1.61,595,225,37.8,15.66,5.92,0.12,0.31,51,1.34,143,97,.678,13,34.2,82.9,442,1754,1842,961,25.29,748,56,49,9,124,3.26,92,5,11,2,356,548,355,12,27364,480,9,10,19,37,45.7,25,19,0,0,0.66,0.50,364,107,29.4,9.58,2.82,0.06,0.21,57,1.50,154,101,.656,10,26.3,71.6,248,894,959,519,13.66,377,27,24,19,45,1.18,32,3,3,1,395,678,450,14,19429,503,34,3039,25,2225,2,0,0.08,0.00,28,2243,5,2,0.20,0.08,27,2273,3,1,0.12,0.04,35,3051,2,3,0.06,0.09,27,2147,2,4,0.08,0.17,24,1846,7,8,0.34,0.39,26,2163,4,8,0.17,0.33,38,3260,1,7,0.03,0.19,19,1503,7,3,0.42,0.18,32,2202,14,4,0.57,0.16,38,3420,3,180,0,0,0.00,0.00,23,1588,0,0,0.00,0.00,38,3420,0,2,0.00,0.05,37,3265,0,1,0.00,0.03,23,1674,0,1,0.00,0.05,30,2398,0,0,0.00,0.00,36,3067,4,3,0.12,0.09,19,1329,1,1,0.07,0.07,26,1280,0,4,0.00,0.28,28,1855,7,1,0.34,0.05
2017-11-29,Bournemouth,1 - 2,Burnley,10302,Vitality Stadium,L,11,11,16,44,47.8,45,36,0,0,1.18,0.95,469,154,32.8,12.34,4.05,0.09,0.27,61,1.61,173,114,.659,6,15.8,74.7,341,971,1235,705,18.55,511,45,28,13,72,1.89,47,5,5,1,273,667,308,5,20443,508,14,12,12,54,43.9,35,26,0,0,0.92,0.68,384,132,34.4,10.11,3.47,0.09,0.27,39,1.03,162,126,.778,12,31.6,68.1,279,936,930,563,14.82,365,27,41,6,57,1.50,38,2,11,1,300,729,381,4,17688,411,38,3420,32,2705,0,1,0.00,0.03,34,2767,2,1,0.07,0.03,38,3353,2,3,0.05,0.08,35,3002,1,3,0.03,0.09,25,1856,2,5,0.10,0.24,20,985,0,0,0.00,0.00,13,960,1,0,0.09,0.00,32,1995,2,6,0.09,0.27,28,1981,8,2,0.36,0.09,33,2453,8,3,0.29,0.11,35,3115,31,2790,0,0,0.00,0.00,29,2610,0,0,0.00,0.00,28,2460,1,1,0.04,0.04,13,1125,0,0,0.00,0.00,38,3420,2,1,0.05,0.03,15,1277,1,2,0.07,0.14,34,2331,2,2,0.08,0.08,24,1997,1,1,0.05,0.05,35,2833,2,8,0.06,0.25,24,1624,10,1,0.55,0.06
2017-11-29,Chelsea,1 - 0,Swansea City,41365,Stamford Bridge,W,21,7,10,70,55.4,60,42,0,0,1.58,1.11,607,213,35.1,15.97,5.61,0.09,0.27,38,1.00,114,80,.684,16,42.1,82.1,470,1457,1717,1012,26.63,761,57,53,21,99,2.61,74,5,5,2,378,554,321,12,25340,452,8,9,21,33,45.2,27,20,0,0,0.71,0.53,337,99,29.4,8.87,2.61,0.08,0.26,56,1.47,191,140,.723,9,23.7,76.0,217,1033,1021,465,12.24,321,34,28,8,33,0.87,19,1,6,1,354,603,343,13,19531,443,35,3150,27,2338,2,1,0.08,0.04,33,2855,7,2,0.22,0.06,22,1098,1,1,0.08,0.08,27,2086,0,0,0.00,0.00,27,2086,0,0,0.00,0.00,32,2307,2,4,0.08,0.16,34,2994,1,1,0.03,0.03,31,2061,11,6,0.48,0.26,31,1523,4,2,0.24,0.12,36,1890,6,7,0.29,0.33,38,3420,24,1944,1,0,0.05,0.00,38,3420,2,1,0.05,0.03,36,3149,0,1,0.00,0.03,34,3030,0,2,0.00,0.06,25,1868,2,2,0.10,0.10,37,2570,0,4,0.00,0.14,12,702,0,0,0.00,0.00,11,754,0,0,0.00,0.00,15,707,2,0,0.25,0.00,36,2852,7,2,0.22,0.06
2017-11-29,Stoke City,0 - 3,Liverpool,29423,Bet365 Stadium,L,7,12,19,33,41.3,34,28,0,0,0.89,0.74,387,122,31.5,10.18,3.21,0.09,0.28,68,1.79,212,151,.703,6,15.8,69.4,284,964,977,599,15.76,423,29,39,18,62,1.63,38,3,6,2,354,638,381,18,16974,465,21,12,5,75,60.5,82,58,0,0,2.16,1.53,638,229,35.9,16.79,6.03,0.13,0.35,38,1.00,99,65,.657,17,44.7,81.8,474,1703,1872,1034,27.21,783,69,54,19,132,3.47,96,16,7,3,372,534,380,9,27107,536,3,270,31,2718,0,1,0.00,0.03,34,2888,1,0,0.03,0.00,17,1243,0,0,0.00,0.00,27,2371,1,1,0.04,0.04,36,3139,2,6,0.06,0.17,27,2219,1,1,0.04,0.04,30,2314,5,5,0.19,0.19,35,2596,6,2,0.21,0.07,36,3039,8,7,0.24,0.21,31,1567,5,2,0.29,0.11,19,1710,29,2127,2,1,0.08,0.04,23,1902,0,2,0.00,0.09,16,1266,0,0,0.00,0.00,25,1997,1,0,0.05,0.00,33,2387,1,2,0.04,0.08,32,1493,3,7,0.18,0.42,26,2091,3,4,0.13,0.17,37,2763,15,7,0.49,0.23,29,2190,10,7,0.41,0.29,21,596,1,1,0.15,0.15
2017-11-29,Manchester City,2 - 1,Southampton,53407,Etihad Stadium,W,32,4,2,100,71.1,103,85,0,0,2.71,2.24,665,257,38.6,17.50,6.76,0.15,0.38,27,0.71,84,58,.679,18,47.4,87.3,491,2046,2018,1104,29.05,862,53,45,18,188,4.95,149,10,7,3,311,474,324,4,31797,484,7,15,16,36,51.5,36,23,0,0,0.95,0.61,444,138,31.1,11.68,3.63,0.07,0.24,56,1.47,160,105,.656,8,21.1,75.2,330,1191,1301,695,18.29,522,47,26,11,65,1.71,45,4,5,0,393,664,412,12,21271,407,36,3194,32,2785,0,6,0.00,0.19,17,1394,1,1,0.06,0.06,22,1741,1,2,0.05,0.10,34,2967,4,0,0.12,0.00,30,1517,4,1,0.24,0.06,37,3073,8,16,0.23,0.47,34,2881,5,3,0.16,0.09,33,2587,18,11,0.63,0.38,25,1963,21,6,0.96,0.28,29,1668,13,3,0.70,0.16,20,1800,32,2794,0,3,0.00,0.10,24,2051,2,0,0.09,0.00,28,2520,0,1,0.00,0.04,14,1260,0,0,0.00,0.00,35,3135,0,4,0.00,0.11,34,2897,1,0,0.03,0.00,25,1720,1,1,0.05,0.05,23,1670,0,0,0.00,0.00,30,1582,2,1,0.11,0.06,31,1945,1,3,0.05,0.14
2017-11-29,Everton,4 - 0,West Ham,38242,Goodison Park,W,13,10,15,49,45.9,42,26,0,0,1.11,0.68,356,109,30.6,9.37,2.87,0.10,0.34,58,1.53,176,121,.688,10,26.3,72.2,261,1053,1013,556,14.63,391,29,31,14,70,1.84,41,6,10,4,368,680,396,11,19286,526,10,12,16,42,45.0,48,29,0,0,1.26,0.76,372,128,34.4,9.79,3.37,0.12,0.36,68,1.79,183,121,.656,10,26.3,72.8,273,938,952,573,15.08,406,36,18,7,71,1.87,47,5,9,1,347,633,422,13,18470,460,38,3420,24,1834,1,0,0.05,0.00,21,1830,0,2,0.00,0.10,15,1184,0,0,0.00,0.00,19,1590,0,1,0.00,0.06,31,2268,10,2,0.40,0.08,33,2751,2,1,0.07,0.03,27,2259,4,3,0.16,0.12,33,1900,2,1,0.09,0.05,15,793,0,0,0.00,0.00,32,1882,4,6,0.19,0.29,19,1710,17,1452,0,0,0.00,0.00,36,3069,1,3,0.03,0.09,37,3289,0,1,0.00,0.03,32,2880,1,0,0.03,0.00,33,2799,2,3,0.06,0.10,27,2042,5,6,0.22,0.26,21,1563,2,0,0.12,0.00,27,1870,0,3,0.00,0.14,31,2313,11,6,0.43,0.23,12,950,0,2,0.00,0.19
2017-12-02,Chelsea,3 - 1,Newcastle Utd,41538,Stamford Bridge,W,21,7,10,70,55.4,60,42,0,0,1.58,1.11,607,213,35.1,15.97,5.61,0.09,0.27,38,1.00,114,80,.684,16,42.1,82.1,470,1457,1717,1012,26.63,761,57,53,21,99,2.61,74,5,5,2,378,554,321,12,25340,452,12,8,18,44,41.7,38,29,0,0,1.00,0.76,453,154,34.0,11.92,4.05,0.08,0.25,47,1.24,142,101,.697,9,23.7,70.8,307,895,978,675,17.76,486,39,39,25,58,1.53,38,4,9,0,351,734,394,7,18274,468,35,3150,27,2338,2,1,0.08,0.04,33,2855,7,2,0.22,0.06,28,2110,3,3,0.13,0.13,27,2086,0,0,0.00,0.00,37,3330,2,6,0.05,0.16,32,2307,2,4,0.08,0.16,12,527,1,0,0.17,0.00,34,2994,1,1,0.03,0.03,31,2061,11,6,0.48,0.26,34,2422,12,4,0.45,0.15,10,900,20,1746,2,1,0.10,0.05,9,672,0,0,0.00,0.00,21,1758,0,1,0.00,0.05,24,2103,0,2,0.00,0.09,31,2041,2,0,0.09,0.00,35,2804,3,5,0.10,0.16,36,2492,8,5,0.29,0.18,24,1347,1,1,0.07,0.07,25,1148,1,1,0.08,0.08,35,1958,6,3,0.28,0.14
2017-12-02,Everton,2 - 0,Huddersfield,39167,Goodison Park,W,13,10,15,49,45.9,42,26,0,0,1.11,0.68,356,109,30.6,9.37,2.87,0.10,0.34,58,1.53,176,121,.688,10,26.3,72.2,261,1053,1013,556,14.63,391,29,31,14,70,1.84,41,6,10,4,368,680,396,11,19286,526,9,10,19,37,45.7,25,19,0,0,0.66,0.50,364,107,29.4,9.58,2.82,0.06,0.21,57,1.50,154,101,.656,10,26.3,71.6,248,894,959,519,13.66,377,27,24,19,45,1.18,32,3,3,1,395,678,450,14,19429,503,38,3420,24,1834,1,0,0.05,0.00,21,1830,0,2,0.00,0.10,15,1184,0,0,0.00,0.00,19,1590,0,1,0.00,0.06,31,2268,10,2,0.40,0.08,33,2751,2,1,0.07,0.03,27,2259,4,3,0.16,0.12,33,1900,2,1,0.09,0.05,15,793,0,0,0.00,0.00,32,1882,4,6,0.19,0.29,38,3420,24,1904,0,1,0.00,0.05,22,1119,0,1,0.00,0.08,38,3420,0,2,0.00,0.05,37,3265,0,1,0.00,0.03,36,3067,4,3,0.12,0.09,20,1124,0,0,0.00,0.00,33,2452,2,0,0.07,0.00,19,1329,1,1,0.07,0.07,33,1820,6,1,0.30,0.05,26,1280,0,4,0.00,0.28
2017-12-02,Brighton,1 - 5,Liverpool,30634,The American Express Community Stadium,L,9,13,16,40,43.7,33,25,0,0,0.87,0.66,383,112,29.2,10.08,2.95,0.07,0.25,54,1.42,170,120,.688,10,26.3,73.0,271,891,978,577,15.18,414,29,29,8,61,1.61,44,4,3,0,369,663,345,18,18725,443,21,12,5,75,60.5,82,58,0,0,2.16,1.53,638,229,35.9,16.79,6.03,0.13,0.35,38,1.00,99,65,.657,17,44.7,81.8,474,1703,1872,1034,27.21,783,69,54,19,132,3.47,96,16,7,3,372,534,380,9,27107,536,38,3420,25,2016,0,0,0.00,0.00,25,2236,0,0,0.00,0.00,38,3420,1,1,0.03,0.03,37,3292,0,1,0.00,0.03,36,3240,0,3,0.00,0.08,33,2421,3,1,0.11,0.04,38,2928,7,8,0.22,0.25,35,3119,0,4,0.00,0.12,13,311,0,0,0.00,0.00,35,2192,12,0,0.49,0.00,19,1710,29,2127,2,1,0.08,0.04,22,1940,1,5,0.05,0.23,19,1573,1,1,0.06,0.06,33,2387,1,2,0.04,0.08,32,1775,0,3,0.00,0.15,14,1109,7,6,0.57,0.49,27,2171,1,1,0.04,0.04,26,2091,3,4,0.13,0.17,37,2763,15,7,0.49,0.23,36,2907,32,10,0.99,0.31
2017-12-02,West Brom,0 - 0,Crystal Palace,23531,The Hawthorns,D,6,13,19,31,40.6,31,24,0,0,0.82,0.63,394,108,27.4,10.37,2.84,0.08,0.28,56,1.47,155,101,.645,10,26.3,70.2,272,931,930,585,15.39,408,28,31,16,47,1.24,32,2,5,0,350,614,431,17,17337,468,11,11,16,44,45.3,44,26,0,0,1.16,0.68,467,133,28.5,12.29,3.50,0.08,0.27,55,1.45,168,117,.685,9,23.7,73.1,320,1019,1154,714,18.79,481,48,46,17,76,2.00,48,6,9,1,355,677,424,18,18815,514,37,3330,29,2310,0,1,0.00,0.04,33,2827,0,1,0.00,0.03,28,2270,2,2,0.08,0.08,38,3386,2,0,0.05,0.00,34,2674,2,2,0.07,0.07,25,1923,1,1,0.05,0.05,10,537,1,0,0.17,0.00,21,827,2,0,0.22,0.00,36,2767,7,3,0.23,0.10,37,2812,7,1,0.22,0.03,11,990,19,1613,0,1,0.00,0.06,19,1600,1,2,0.06,0.11,24,1745,0,1,0.00,0.05,15,1195,0,0,0.00,0.00,36,3080,10,1,0.29,0.03,24,1874,2,3,0.10,0.14,33,2431,5,1,0.19,0.04,36,3120,2,7,0.06,0.20,29,2549,9,3,0.32,0.11,31,2240,3,5,0.12,0.20
